"ID_CODE","SIMPLIFIED","TRADITIONAL","PINYIN","TYPE","DESCRIPTION","HSK_LEVEL","MESURE_WORD","SYNONYME","SEE_ALSO"
"432","便于","便於","biànyú","(动) verb","easy to; convenient for","6","","",""
"433","便利","Same","biànlì","(形) adjective","convenient; easy; to facilitate","6","","",""
"434","便宜","Same","biànyí","(名) noun, (形) adjective","small advantages; to let somebody off lightly; cheap; inexpensive","2","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E4%BE%BF%E5%AE%9C&amp;cache=7208"" class=""pinyin"">bi&agrave;ny&iacute;</a> convenient"
"434","便宜","","piányi","(形) adjective","convenient","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E4%BE%BF%E5%AE%9C&amp;cache=7209"" class=""pinyin"">pi&aacute;nyi</a> small advantages; to let somebody off lightly; cheap; inexpensive"
"435","便条","便條","biàntiáo","(名) noun","(informal) note","6","张, 个","",""
"436","促使","Same","cùshǐ","(形) adjective","to induce; to promote; to urge; to impel; to bring about; to provoke; to drive (somebody to do something); to catalyze; to actuate; to contribute to (some development)","5","","",""
"437","促进","促進","cùjìn","(形) adjective","to promote (an idea or cause); to advance; boost","5","","",""
"438","俗话","俗話","súhuà","(名) noun","common saying; proverb","6","句","",""
"439","俘虏","俘虜","fúlǔ","(名) noun, (动) verb","captive","6","","",""
"440","保养","保養","bǎoyǎng","(名) noun, (动) verb","to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance","6","","",""
"441","保卫","保衛","bǎowèi","(动) verb","to defend; to safeguard","6","","",""
"442","保姆","Same","bǎomǔ","(名) noun","nanny; housekeeper","6","","",""
"443","保存","Same","bǎocún","(动) verb","to conserve; to preserve; to keep; to save (a file etc) (computing)","5","","",""
"444","保守","Same","bǎoshǒu","(形) adjective","(politically) conservative; to guard; to keep","6","","",""
"445","保密","Same","bǎomì","(动) verb","to keep something confidential; to maintain secrecy","6","","",""
"446","保护","保護","bǎohù","(名) noun, (动) verb","to protect; to defend; to safeguard; protection","4","种","",""
"447","保持","Same","bǎochí","(形) adjective","to keep; to maintain; to hold; to preserve","5","","",""
"448","保留","Same","bǎoliú","(动) verb","to retain; to continue to have; to preserve; to maintain; to reserve; reservations; to hold back (approval or acceptance)","5","","",""
"449","保管","Same","bǎoguǎn","(动) verb","to assure; to guarantee; to take care of; to safeguard; certainly; surely","6","","",""
"450","保证","保證","bǎozhèng","(名) noun, (动) verb","guarantee; to guarantee; to ensure; to safeguard; to pledge","4","个","",""
"451","保重","Same","bǎozhòng","(形) adjective, (动) verb","to take care of oneself","6","","",""
"452","保险","保險","bǎoxiǎn","(名) noun, (形) adjective, (动) verb","insurance; to insure; safe; secure; be sure; be bound to","5","分","",""
"453","保障","Same","bǎozhàng","(名) noun, (动) verb","to ensure; to guarantee; to safeguard","6","","",""
"454","信","Same","xìn","(名) noun, (形) adjective","letter; mail; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random","3","封","",""
"455","信仰","Same","xìnyǎng","(名) noun, (形) adjective","to believe in (a religion); firm belief; conviction","6","","",""
"456","信任","Same","xìnrén","(形) adjective","to trust; to have confidence in","4","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E4%BF%A1%E4%BB%BB&amp;cache=142456"" class=""pinyin"">x&igrave;nr&eacute;n</a> to trust; confidence"
"456","信任","","xìnrèn","","to trust; confidence","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E4%BF%A1%E4%BB%BB&amp;cache=7489"" class=""pinyin"">x&igrave;nr&egrave;n</a> to trust; to have confidence in"
"457","信号","信號","xìnhào","(名) noun","signal","5","","",""
"458","信封","Same","xìnfēng","(名) noun","envelope","5","个","",""
"459","信心","Same","xìnxīn","(名) noun","confidence; faith (in somebody or something)","4","个","",""
"460","信念","Same","xìnniàn","(名) noun","faith; belief; conviction","6","","",""
"461","信息","Same","xìnxī","(名) noun","information; news; message","5","","",""
"462","信用卡","Same","xìnyòng kǎ","(名) noun","credit card","4","张","",""
"463","信誉","信譽","xìnyù","(名) noun","prestige; distinction; reputation; trust","6","","",""
"464","信赖","信賴","xìnlài","(形) adjective","to trust; to have confidence in; to have faith in; to rely on","6","","",""
"465","俩","倆","liǎ","(量) measure word, (数) numeral","two (colloquial equivalent of 兩個); both; some","4","","",""
"466","修","Same","xiū","(动) verb","to decorate; to embellish; to repair; to build; to study; to write; to cultivate; (Chinese surname)","4","","",""
"467","修养","","xiūyǎng","(名) noun","accomplishment; training; self-cultivation","","","",""
"468","修复","修復","xiūfù","(名) noun","to restore; to renovate; restoration","6","","",""
"469","修建","Same","xiūjiàn","(动) verb","to build; to construct","6","","",""
"470","修改","Same","xiūgǎi","(动) verb","to amend; to alter; to modify","5","","",""
"471","修理","Same","xiūlǐ","(动) verb","to repair; to perform maintenance; to overhaul; to fix; to prune; to trim","6","","",""
"472","俯仰","Same","fǔyǎng","(名) noun","lowering and raising of the head; (fig.) small move; pitch (position angle)","6","","",""
"473","俱乐部","俱樂部","jù lè bù","(名) noun","club (i.e. a group or organization) (loanword)","5","个","",""
"474","倍","Same","bèi","(名) noun, (量) measure word","(two, three etc) -fold; times (multiplier); double; to increase or multiply","4","","",""
"475","倒","","dào","(动) verb","to fall; to collapse; to topple; to fail; to go bankrupt; to change (trains or buses); to move around; to sell; to speculate (buying and selling, also 搗); profiteer","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%80%92&amp;cache=7763"" class=""pinyin"">d&agrave;o</a> to place upside down; to invert; to pour; to throw out; to move backwards; however; actually; as a matter of fact; contrary to expectation"
"475","倒","Same","dǎo","(动) verb, (副) adverb","to place upside down; to invert; to pour; to throw out; to move backwards; however; actually; as a matter of fact; contrary to expectation","5","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%80%92&amp;cache=7762"" class=""pinyin"">dǎo</a> to fall; to collapse; to topple; to fail; to go bankrupt; to change (trains or buses); to move around; to sell; to speculate (buying and selling, also <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E6%90%97"">搗</a>); profiteer"
"476","倒闭","倒閉","dǎobì","(动) verb","to go bankrupt; to close down","6","","",""
"477","倒霉","倒黴","dǎoméi","(形) adjective, (动宾式) verb object","to have bad luck; to be out of luck","5","","",""
"478","倘若","Same","tǎngruò","(连) conjunction","provided that; supposing that; if","6","","",""
"479","候选","候選","hòuxuǎn","(形) adjective","candidate","6","","",""
"480","借","Same","jí","(动) verb","to lend; to borrow; by means of; to take (an opportunity)","3","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E8%97%89&amp;cache=710"" class=""pinyin"">j&iacute;</a> to insult; to walk all over (somebody); (Chinese surname) (<span class=""zh"">藉</span>)<br /><a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E8%97%89&amp;cache=711"" class=""pinyin"">ji&egrave;</a> sleeping mat; to placate; variant of <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E5%80%9F"">借</a> (<span class=""zh"">藉</span>)"
"480","借","","jiè","","to insult; to walk all over (somebody); (Chinese surname)","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E8%97%89&amp;cache=711"" class=""pinyin"">ji&egrave;</a> sleeping mat; to placate; variant of <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E5%80%9F"">借</a><br /><a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%80%9F&amp;cache=7894"" class=""pinyin"">ji&egrave;</a> to lend; to borrow; by means of; to take (an opportunity) (<span class=""zh"">借</span>)"
"480","借","","jí","(动) verb","sleeping mat; to placate; variant of 借","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E8%97%89&amp;cache=710"" class=""pinyin"">j&iacute;</a> to insult; to walk all over (somebody); (Chinese surname)<br /><a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%80%9F&amp;cache=7894"" class=""pinyin"">ji&egrave;</a> to lend; to borrow; by means of; to take (an opportunity) (<span class=""zh"">借</span>)"
"481","借助","Same","jièzhù","(动) verb","to draw support from; with the help of","6","","",""
"482","借口","藉口","jièkǒu","(名) noun","to use as an excuse; on the pretext; excuse; pretext; also written 借口","5","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%80%9F%E5%8F%A3&amp;cache=7908"" class=""pinyin"">ji&egrave;kǒu</a> to use as an excuse; on the pretext; excuse; pretext (<span class=""zh"">借口</span>)"
"482","借口","","jièkǒu","","to use as an excuse; on the pretext; excuse; pretext","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E8%97%89%E5%8F%A3&amp;cache=78096"" class=""pinyin"">ji&egrave;kǒu</a> to use as an excuse; on the pretext; excuse; pretext; also written <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E5%80%9F%E5%8F%A3"">借口</a> (<span class=""zh"">藉口</span>)"
"483","借鉴","借鑒","jièjiàn","(动) verb","to use other people's experience; to borrow from a source; to use as reference","6","","",""
"484","倡导","倡導","chàngdǎo","(动) verb","to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought)","6","","",""
"485","倡议","倡議","chàngyì","(名) noun, (动) verb","to suggest; to initiate; proposal; initiative","6","","",""
"486","债券","債券","zhàiquàn","(名) noun","bond; debenture","6","","",""
"487","值得","Same","zhíde","(形) adjective, (副) adverb","to be worth; to deserve","4","","",""
"488","值班","Same","zhíbān","(动宾式) verb object","to work a shift; on duty","6","","",""
"489","倾向","傾向","qīngxiàng","(名) noun, (形) adjective","trend; tendency; orientation","6","","",""
"490","倾听","傾聽","qīngtīng","(动) verb","to listen attentively","6","","",""
"491","倾斜","傾斜","qīngxié","(动) verb","to incline; to lean; to slant; to slope; to tilt","6","","",""
"492","假","Same","jià","(形) adjective, (介) preposition","fake; false; artificial; to borrow; if; suppose","4","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%81%87&amp;cache=8036"" class=""pinyin"">ji&agrave;</a> vacation"
"492","假","","jiǎ","(名) noun","vacation","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%81%87&amp;cache=8035"" class=""pinyin"">jiǎ</a> fake; false; artificial; to borrow; if; suppose"
"493","假使","Same","jiǎshǐ","(连) conjunction","if; in case; suppose; given ...","6","","",""
"494","假如","Same","jiǎrú","(连) conjunction, (副) adverb","if","5","","",""
"495","假装","假裝","jiǎzhuāng","(动) verb","to feign; to pretend","5","","",""
"496","假设","假設","jiǎshè","(连) conjunction","suppose that...; hypothesis; conjecture","6","","",""
"497","偏偏","Same","piānpiān","(副) adverb","(indicates that something turns out just the opposite of what one would expect or what would be normal); unfortunately; against expectations","6","","",""
"498","偏僻","Same","piānpì","(形) adjective","remote; desolate; far from the city","6","","",""
"499","偏差","Same","piānchā","(名) noun","bias; deviation","6","","",""
"500","偏见","偏見","piānjiàn","(名) noun","prejudice","6","","",""
"501","做","Same","zuò","(动) verb","to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance","1","","",""
"502","做东","做東","zuòdōng","(动) verb","to act as host","6","","",""
"503","做主","Same","zuòzhǔ","(动宾式) verb object","make the decision; take charge of; back up; support; be host","6","","",""
"504","做生意","Same","zuò shēngyi","(动宾式) verb object","to do business","4","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%81%9A%E7%94%9F%E6%84%8F&amp;cache=109719"" class=""pinyin"">zu&ograve; shēngyi</a> to do business"
"504","做生意","","zuòshēngyì","(动宾式) verb object","to do business","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%81%9A%E7%94%9F%E6%84%8F&amp;cache=8270"" class=""pinyin"">zu&ograve;shēngy&igrave;</a> to do business"
"505","停止","Same","tíngzhǐ","(动) verb","to stop; to halt; to cease","4","","",""
"506","停泊","Same","tíngbó","(动) verb","to anchor; anchorage; mooring (of a ship)","6","","",""
"507","停滞","停滯","tíngzhì","(动) verb","stagnation; at a standstill; bogged down","6","","",""
"508","停顿","停頓","tíngdùn","(动) verb","to halt; to break off; pause (in speech)","6","","",""
"509","健全","Same","jiànquán","(形) adjective","robust; sound","6","","",""
"510","健康","Same","jiànkāng","(名) noun, (形) adjective","health; healthy","3","None","",""
"511","健身房","Same","jiànshēn fáng","(名) noun","gym; gymnasium","5","","",""
"512","偶尔","偶爾","ǒu'ěr","(副) adverb","occasionally; once in a while; sometimes","4","","",""
"513","偶然","Same","ǒurán","(形) adjective","incidentally; occasional; occasionally; by chance; randomly","5","","",""
"514","偿还","償還","chánghuán","(动) verb","to repay; to reimburse","6","","",""
"515","傍晚","Same","bàngwǎn","(名) noun","in the evening; when night falls; towards evening; at night fall; at dusk","5","","",""
"516","储备","儲備","chǔbèi","(动) verb","reserves; to store up","6","","",""
"517","储存","儲存","chǔcún","(动) verb","stockpile; to store; to stockpile; storage","6","","",""
"518","储蓄","儲蓄","chǔxù","(名) noun, (动) verb","to deposit money; to save; savings","6","","",""
"519","催","Same","cuī","(动) verb","to urge; to press; to prompt; to rush somebody; to hasten something; to expedite","5","","",""
"520","傻","Same","shǎ","(形) adjective","foolish","5","","",""
"521","像","Same","xiàng","(动) verb","to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.)","3","","",""
"522","僵硬","Same","jiāngyìng","(名) noun","stiff; rigid","6","","",""
"523","儿子","兒子","érzi","(名) noun","son","1","位, 个","",""
"524","儿童","兒童","értóng","(名) noun","child","4","个","",""
"525","允许","允許","yǔnxǔ","(动) verb","to permit; to allow","4","","",""
"526","元","Same","yuán","(量) measure word","Chinese monetary unit; dollar; primary; first; (Chinese surname); the Yuan or Mongol dynasty (1279-1368)","2","","",""
"527","元宵节","元宵節","yuánxiāo jié","(名) noun","Lantern Festival, the final event of the Spring Festival 春節, on 15th of first month of the lunar calendar","6","None","",""
"528","元旦","Same","yuándàn","(名) noun","New Year's Day","5","","",""
"529","元素","Same","yuánsù","(名) noun","element; element of a set; chemical element","6","","",""
"530","元首","Same","yuánshǒu","(名) noun","head of state","6","","",""
"531","兄弟","Same","xiōngdì","(名) noun","brothers; younger brother; I, me (humble term used by men in public speech); brotherly; fraternal","5","个","",""
"532","充分","Same","chōngfèn","(形) adjective","ample; sufficient; adequate; full; fully; to the full","5","","",""
"533","充实","充實","chōngshí","(形) adjective","rich; full; substantial; to enrich; to augment; to substantiate (an argument)","6","","",""
"534","充当","充當","chōngdāng","(动) verb","to serve as; to act as; to play the role of","6","","",""
"535","充沛","Same","chōngpèi","(形) adjective","abundant; plentiful; vigorous","6","","",""
"536","充满","充滿","chōngmǎn","(形) adjective","full of; brimming with; very full; permeated","5","","",""
"537","充电器","充電器","chōng diànqì","(名) noun","battery charger","5","","",""
"538","充足","Same","chōngzú","(形) adjective","adequate; sufficient; abundant","6","","",""
"539","先","Same","xiān","(副) adverb","early; prior; former; in advance; first","3","","",""
"540","先前","Same","xiānqián","(名) noun","before; previously","6","","",""
"541","先生","Same","xiānsheng","(名) noun","teacher; husband; doctor (topolect); Mister (Mr.)","1","位","",""
"542","先进","先進","xiānjìn","(名) noun, (形) adjective","advanced (technology); to advance","6","","",""
"543","光","Same","guāng","(名) noun, (形) adjective, (副) adverb","light; ray; bright; only; merely; to use up","4","道","",""
"544","光临","光臨","guānglín","(动) verb, (习惯用语) idiomatic expression","(honorific) Welcome!; You honor us with your presence.; It is an honor to have you.","5","","",""
"545","光彩","Same","guāngcǎi","(形) adjective","luster; splendor; radiance; brilliance","6","","",""
"546","光明","Same","guāngmíng","(形) adjective","light; illumination; radiance (esp. glory of Buddha etc); fig. bright prospects; openhearted","5","","",""
"547","光滑","","guānghua","","glossy; sleek; smooth","","","",""
"548","光盘","光盤","guāngpán","(名) noun","compact disc; CD or DVD; CD ROM","5","片, 张","",""
"549","光芒","Same","guāngmáng","(名) noun","rays of light; brilliant rays; radiance","6","","",""
"550","光荣","光榮","guāngróng","(形) adjective","honor and glory; glorious","5","个","",""
"551","光辉","光輝","guānghuī","(形) adjective","radiance; glory; brilliant; magnificent","6","","",""
"552","克","Same","kè","(量) measure word","to be able to; to subdue; to restrain; to overcome; gram; Tibetan unit of land area, about 6 ares","5","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%89%8B&amp;cache=91"" class=""pinyin"">k&egrave;</a> variant of <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E5%85%8B"">克</a>; to subdue; to overthrow; to restrain; Ke (c. 2000 BC), seventh of the legendary Flame Emperors, <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E7%82%8E%E5%B8%9D"">炎帝</a> descended from Shennong <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E7%A5%9E%E8%BE%B2"">神農</a> Farmer God (<span class=""zh"">剋</span>)<br /><a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%89%8B&amp;cache=12466"" class=""pinyin"">kēi</a> to scold; to beat (<span class=""zh"">剋</span>)"
"552","克","","kè","","variant of 克; to subdue; to overthrow; to restrain; Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝 descended from Shennong 神農 Farmer God","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%85%8B&amp;cache=9534"" class=""pinyin"">k&egrave;</a> to be able to; to subdue; to restrain; to overcome; gram; Tibetan unit of land area, about 6 ares (<span class=""zh"">克</span>)<br /><a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%89%8B&amp;cache=12466"" class=""pinyin"">kēi</a> to scold; to beat"
"552","克","","kè","","to scold; to beat","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%89%8B&amp;cache=91"" class=""pinyin"">k&egrave;</a> variant of <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E5%85%8B"">克</a>; to subdue; to overthrow; to restrain; Ke (c. 2000 BC), seventh of the legendary Flame Emperors, <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E7%82%8E%E5%B8%9D"">炎帝</a> descended from Shennong <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E7%A5%9E%E8%BE%B2"">神農</a> Farmer God<br /><a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%85%8B&amp;cache=9534"" class=""pinyin"">k&egrave;</a> to be able to; to subdue; to restrain; to overcome; gram; Tibetan unit of land area, about 6 ares (<span class=""zh"">克</span>)"
"553","克服","Same","kèfú","(形) adjective, (动) verb","(try to) overcome (hardships etc); to conquer; to put up with; to endure","5","","",""
"554","免得","Same","miǎnde","(连) conjunction, (副) adverb","so as not to; so as to avoid","6","","",""
"555","免疫","Same","miǎnyì","(形) adjective","immunity (to disease)","6","","",""
"556","免费","免費","miǎnfèi","(名) noun, (形) adjective, (动) verb, (副) adverb","free (of charge)","4","","",""
"557","兑换","兌換","duìhuàn","(动) verb","to convert; to exchange","6","","",""
"558","兑现","兌現","duìxiàn","(动) verb","(of a cheque etc) to cash; to honor a commitment","6","","",""
"559","兔子","Same","tùzi","(名) noun","hare; rabbit","5","只","",""
"560","党","黨","dǎng","(名) noun","party; association; club; society; (Chinese surname)","6","个","",""
"561","兜","Same","dōu","(名) noun","pocket; bag; to wrap up or hold in a bag; to move in a circle; to canvas or solicit; to take responsibility for; to disclose in detail; combat armor (old)","6","","",""
"562","兢兢业业","兢兢業業","jīng jīng yè yè","(副) adverb","cautious and conscientious","6","","",""
"563","入口","Same","rùkǒu","(名) noun, (动) verb","entrance","4","","",""
"564","全力以赴","Same","quánlì yǐ fù","(动) verb","to do at all costs; to make an all-out effort","6","","",""
"565","全局","Same","quánjú","(名) noun","overall situation","6","","",""
"566","全部","Same","quánbù","(名) noun","whole; entire; complete","4","","",""
"567","全面","Same","quánmiàn","(副) adverb","all-around; comprehensive; total; overall","5","","",""
"568","八","Same","bā","(数) numeral","eight; 8","1","","丷",""
"569","公主","Same","gōngzhǔ","(名) noun","princess","5","","",""
"570","公元","Same","gōngyuán","(名) noun","CE (Common Era); Christian Era; AD (Anno Domini)","5","","",""
"571","公共汽车","公共汽車","gōnggòng qìchē","(名) noun","bus","2","辆, 班","",""
"572","公关","公關","gōngguān","(名) noun","public relations","6","","",""
"573","公务","公務","gōngwù","(名) noun","official business","6","","",""
"574","公司","Same","gōngsī","(名) noun","(business) company; company; firm; corporation; incorporated","2","家","",""
"575","公告","Same","gōnggào","(名) noun","post; announcement","6","","",""
"576","公园","公園","gōngyuán","(名) noun","public park","3","场","",""
"577","公婆","Same","gōngpó","(名) noun","husband's parents; parents-in-law","6","","",""
"578","公安局","Same","gōng'ān jú","(专有名) proper noun","public security bureau","6","","",""
"579","公寓","Same","gōngyù","(名) noun","apartment building; block of flats","5","套","",""
"580","公布","公佈","gōngbù","(动) verb","to announce; to make public; to publish","5","","",""
"581","公平","Same","gōngpíng","(形) adjective","fair; impartial","5","","",""
"582","公开","公開","gōngkāi","(形) adjective","public; to publish; to make public","5","","",""
"583","公式","Same","gōngshì","(名) noun","formula","6","","",""
"584","公斤","Same","gōngjīn","(量) measure word","kilogram (kg)","2","","",""
"585","公正","Same","gōngzhèng","(名) noun","just; fair; equitable","6","","",""
"586","公民","Same","gōngmín","(名) noun","citizen","6","","",""
"587","公然","Same","gōngrán","(副) adverb","openly; publicly; undisguised","6","","",""
"588","公认","公認","gōngrèn","(动) verb","publicly known (to be); accepted (as)","6","","",""
"589","公证","公證","gōngzhèng","(名) noun","notarization; notarized; acknowledgement","6","","",""
"590","公道","Same","gōngdào","(形) adjective","justice; fairness; public highway","6","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%85%AC%E9%81%93&amp;cache=10516"" class=""pinyin"">gōngdao</a> fair; equitable"
"590","公道","","gōngdao","","fair; equitable","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E5%85%AC%E9%81%93&amp;cache=10515"" class=""pinyin"">gōngd&agrave;o</a> justice; fairness; public highway"
"591","公里","Same","gōnglǐ","(量) measure word","kilometer","4","","",""
"592","六","Same","liù","(数) numeral","six; 6","1","","",""
"593","共同","Same","gòngtóng","(副) adverb","common; joint; jointly; together; collaborative","4","","",""
"594","共和国","共和國","gònghé guó","(名) noun","republic","6","","",""
"595","共计","共計","gòngjì","(动) verb","to sum up to; to total","6","","",""
"596","共鸣","共鳴","gòngmíng","(名) noun","resonance (physics); sympathetic response to something","6","","",""
"597","关","關","guān","(形) adjective, (动) verb, (量) measure word","mountain pass; to close; to shut; to turn off; to concern; to involve; (Chinese surname)","3","","",""
"598","关于","關於","guānyú","(介) preposition","pertaining to; concerning; regarding; with regards to; about; a matter of","3","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E9%97%9C%E4%BA%8E&amp;cache=92544"" class=""pinyin"">guāny&uacute;</a> pertaining to; concerning; regarding; with regards to; about; a matter of; also written <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E9%97%9C%E6%96%BC"">關於</a> (<span class=""zh"">關于</span>)"
"598","关于","","guānyú","","pertaining to; concerning; regarding; with regards to; about; a matter of; also written 關於","","","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E9%97%9C%E6%96%BC&amp;cache=92576"" class=""pinyin"">guāny&uacute;</a> pertaining to; concerning; regarding; with regards to; about; a matter of (<span class=""zh"">關於</span>)"
"599","关心","關心","guānxīn","(名) noun, (形) adjective, (动) verb","to care for something; caring; concerned","3","","",""
"600","关怀","關懷","guānhuái","(形) adjective","care; solicitude; to show care for; concerned about; attentive to","5","","",""
"601","关照","關照","guānzhào","(形) adjective","to take care; to keep an eye on; to look after; to tell; to remind","6","个","",""
"602","关系","","guānxì","","relation; relationship; to concern; to affect; to have to do with; guanxi","","个","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E9%97%9C%E7%B3%BB&amp;cache=92599"" class=""pinyin"">guānx&igrave;</a> variant of <a class=""zh0"" href=""/chinese/wordsearch.php?searchMode=C&amp;dialect=M&amp;word=%E9%97%9C%E4%BF%82"">關係</a> (<span class=""zh"">關系</span>)"
"602","关系","關系","guānxi","(名) noun, (形) adjective","variant of 關係","3","个","","<a href=""/chinese/wordsearch.php?searchMode=C&amp;word=%E9%97%9C%E4%BF%82&amp;cache=92545"" class=""pinyin"">guānxi</a> relation; relationship; to concern; to affect; to have to do with; guanxi (<span class=""zh"">關係</span>)"
"603","关键","關鍵","guānjiàn","(名) noun","crucial point; crux; key; crucial; pivotal","4","个","",""
"604","关闭","關閉","guānbì","(动) verb","to close; to shut","5","","",""
"605","兴奋","興奮","xīngfèn","(形) adjective","excited; excitement","4","","",""
"606","兴旺","興旺","xīngwàng","(形) adjective","prosperous; thriving; to prosper; to flourish","6","","",""
"607","兴致勃勃","興致勃勃","xìngzhì bóbó","(形) adjective","to become exhilarated (idiom); in high spirits; full of zest","6","","",""
"608","兴趣","興趣","xìngqù","(名) noun","interest (desire to know about something); interest (thing in which one is interested); hobby","3","个","",""
"609","兴隆","興隆","xīnglóng","(形) adjective, (专有名) proper noun","prosperous; thriving; flourishing; Xinglong county in Chengde 承德, Hebei","6","","",""
"610","兴高采烈","","xīnggāocǎiliè","","happy and excited (idiom); in high spirits; in great delight","","","",""
"611","其中","Same","qízhōng","(名) noun","among; in; included among these","4","","",""
"612","其他","Same","qítā","(代) pronoun","other; (smth or somebody) else; the rest","3","","",""
"613","其余","其餘","qíyú","(代) pronoun","the rest; the others; remaining; remainder; apart from them","5","","",""
"614","其实","其實","qíshí","(副) adverb","actually; in fact; really","3","","",""
"615","其次","Same","qícì","(连) conjunction","next; secondly","4","","",""
"616","具体","具體","jùtǐ","(形) adjective","concrete; definite; specific","5","","",""
"617","具备","具備","jùbèi","(形) adjective","to possess; to have; equipped with; able to fulfill (conditions or requirements)","5","","",""
"618","典型","Same","diǎnxíng","(名) noun, (形) adjective","model; typical case; archetype; typical; representative","6","","",""
"619","典礼","典禮","diǎnlǐ","(名) noun","celebration; ceremony","6","","",""
"620","养成","養成","yǎngchéng","(动) verb","to cultivate; to raise; to form (a habit); to acquire","4","","",""
"621","兼职","兼職","jiānzhí","(动) verb","to hold concurrent posts; concurrent job; moonlighting","6","","",""
"622","内","內","nèi","(名) noun","inside; inner; internal; within; interior","4","","",""
"623","内在","內在","nèizài","(形) adjective","intrinsic; innate","6","","",""
"624","内容","內容","nèiróng","(名) noun","content; substance; details","4","个, 项","",""
"625","内幕","內幕","nèimù","(名) noun","inside story; non-public information; behind the scenes; internal","6","","",""
"626","内涵","內涵","nèihán","(名) noun","meaning; content; essential properties implied or reflected by a notion; intention; connotation; self-possessed","6","","",""
"627","内科","內科","nèikē","(名) noun","internal medicine; general medicine","5","","",""
"628","册","冊","cè","(量) measure word","book; booklet; measure word for books","5","","",""
"629","再","Same","zài","(副) adverb","again; once more; re-; second; another; then (after something, and not until then)","2","","",""
"630","再三","Same","zàisān","(副) adverb","over and over again; again and again","5","","",""
"631","再接再厉","再接再厲","zàijiēzàilì","(副) adverb","to continue the struggle (idiom); to persist; unremitting efforts","6","","",""
"632","再见","再見","zàijiàn","(动) verb, (习惯用语) idiomatic expression","goodbye; see you again later","1","","",""
"633","冒充","Same","màochōng","(动) verb","to feign; to pretend to be; to pass oneself off as","6","","",""
"634","冒险","冒險","màoxiǎn","(动) verb","to take risks; to take chances; foray; adventure","5","","",""
"635","写","寫","xiě","(动) verb","to write","1","","",""
